Matiere;Matière court;Temps preparation (min);Duree (min)
Lettres;Lettres;30;20
Arts;Arts;30;30
Histoire-Géographie, Géopolitique et Sciences Politiques;HGGSP;20;20
Humanités, Littérature et Philosophie;HLP;20;20
Numérique Sciences Informatiques;NSI;20;20
Physique-Chimie;PC;20;20
Sciences de la Vie et de la Terre;SVT;20;20
Sciences Économiques et Sociales;SES;30;20
Anglais;Anglais;20;20
Mathématiques;Maths;20;20
Management;Mana;40;20
Droit Economie;Droit Eco;20;20
Langues, Littératures et Cultures Etrangères;LLCE;20;20
Anglais Monde comtemporain;AMC;20;20
Philosophie;Philo;20;20
Sciences Industrielles de L’ingénieur;SII;20;20
